epoch,train_loss,eval_loss,epe_mean,epe_median,epe_p80,epe_p90,mae_x,mae_y
1,0.04977879272672035,0.03297555476853842,0.30810198187828064,0.26645782589912415,0.4660487174987793,0.5887895822525024,0.12548862397670746,0.2568938434123993
2,0.007446512464370274,0.014623634097542,0.2112632542848587,0.1877942979335785,0.2897186875343323,0.36548349261283875,0.12188392132520676,0.14500676095485687
3,0.00654938009160441,0.013282140395948596,0.19678020477294922,0.1750902682542801,0.27357256412506104,0.3480605185031891,0.08916071057319641,0.15661807358264923
4,0.003486437307050191,0.012720836947954355,0.1837347000837326,0.1508622020483017,0.2670820653438568,0.35411641001701355,0.08369825780391693,0.14530304074287415
5,0.004159659194971889,0.011753096239450153,0.17681676149368286,0.1447189301252365,0.2440868467092514,0.3298608660697937,0.08613727986812592,0.1378602385520935
6,0.0028850417876426135,0.006423285891588661,0.12863419950008392,0.10650836676359177,0.1850845366716385,0.245731383562088,0.052390206605196,0.10773768275976181
7,0.002788295961336696,0.005220546814344094,0.11098945885896683,0.08640749007463455,0.15503673255443573,0.21147799491882324,0.047321587800979614,0.09111380577087402
8,0.0010516676678109715,0.005098804791495737,0.10914406180381775,0.08373840153217316,0.14996589720249176,0.21564996242523193,0.04691558703780174,0.08835044503211975
9,0.0018539885049849514,0.005600498703826299,0.11390022933483124,0.08639085292816162,0.15662667155265808,0.23219245672225952,0.0470418781042099,0.09362879395484924
10,0.0008318282241460864,0.004737352954139289,0.11088128387928009,0.09088066220283508,0.15225495398044586,0.2042464315891266,0.05267586559057236,0.08526507765054703
11,0.0008014770778129978,0.0064736461938138794,0.12338648736476898,0.09427987039089203,0.17672471702098846,0.25360673666000366,0.05507307127118111,0.09955231845378876
12,0.0008095597099063921,0.005249802899815872,0.10970830917358398,0.08394549787044525,0.14988474547863007,0.22339540719985962,0.044919539242982864,0.09044123440980911
13,0.00030500432430164044,0.005192255499930541,0.10535291582345963,0.07452472299337387,0.14624063670635223,0.23161174356937408,0.040003884583711624,0.09004293382167816
14,0.000300291971380789,0.004516709971114957,0.10046116262674332,0.07512356340885162,0.14514319598674774,0.20439691841602325,0.03954160585999489,0.08421651273965836
15,0.0001377501339296515,0.0041195651240700185,0.09482095390558243,0.07036252319812775,0.1305403709411621,0.19135479629039764,0.03924514725804329,0.07847181707620621
16,0.00010587518127149628,0.004299208861475628,0.09594468772411346,0.0679832324385643,0.13426390290260315,0.19978927075862885,0.03942841663956642,0.07944922894239426
17,7.790110684771623e-05,0.004370775799264771,0.09665966033935547,0.06929946690797806,0.132158100605011,0.2023455798625946,0.03865249827504158,0.08041046559810638
18,6.164059792441386e-05,0.004415652994288749,0.0968809500336647,0.06964391469955444,0.13244502246379852,0.2038017064332962,0.03905186057090759,0.08069273829460144
19,5.1293599691472856e-05,0.0043472194839669015,0.09599373489618301,0.0691014900803566,0.13179826736450195,0.19739557802677155,0.03826186805963516,0.0801832526922226
20,4.655896021418154e-05,0.0043655902231756714,0.09603840857744217,0.06865979731082916,0.1322326958179474,0.20115241408348083,0.03794022276997566,0.08050339668989182
