epoch,train_loss,eval_loss,epe_mean,epe_median,epe_p80,epe_p90,mae_x,mae_y
1,0.10829277421509843,0.116388369362356,0.5379109382629395,0.37924495339393616,0.9199640154838562,1.2085586786270142,0.3044339418411255,0.3854706883430481
2,0.009052026196109541,0.08485118320110722,0.4671342074871063,0.3571944534778595,0.7546781897544861,0.9793794751167297,0.19132423400878906,0.3859895169734955
3,0.004969175173497583,0.09440478224323394,0.4710557758808136,0.3174656331539154,0.8063369989395142,1.0958141088485718,0.21161089837551117,0.37907877564430237
4,0.004112018337005416,0.09368930970315485,0.4897426962852478,0.3865620493888855,0.7879324555397034,1.032122254371643,0.2228582203388214,0.39263278245925903
5,0.0029111243710636388,0.10520439476143181,0.4913756251335144,0.3064752519130707,0.875377893447876,1.1892945766448975,0.22370250523090363,0.39634835720062256
6,0.002397782566190208,0.07151212450340426,0.41425296664237976,0.2748037278652191,0.7297585010528564,0.9356817603111267,0.1777784526348114,0.3394222855567932
7,0.0020092791652277426,0.06327039333873223,0.3709070086479187,0.22949786484241486,0.6768433451652527,0.9144399762153625,0.13337017595767975,0.3185083568096161
8,0.0016083494246970573,0.06495252693902685,0.37022796273231506,0.21233293414115906,0.6719369888305664,0.91410893201828,0.14605586230754852,0.3112974464893341
9,0.0012134993389470768,0.05341931154206574,0.3428270220756531,0.2010769546031952,0.624544084072113,0.8085349798202515,0.1611415445804596,0.2728121280670166
10,0.0008809867133420636,0.06682461218490832,0.3698670566082001,0.19986803829669952,0.6943458318710327,0.9543634057044983,0.14929580688476562,0.30758553743362427
11,0.0006701487254623315,0.0671589518492604,0.3766443729400635,0.21575108170509338,0.7004523873329163,0.9379413723945618,0.15914244949817657,0.3100416958332062
12,0.00048480596006463786,0.07048177525630928,0.37724027037620544,0.18649765849113464,0.7178165912628174,0.9804005026817322,0.1568862348794937,0.3111492097377777
13,0.0003480333300815787,0.06990672032019295,0.37694770097732544,0.20407900214195251,0.723015546798706,0.9718896150588989,0.16171224415302277,0.3066708445549011
14,0.0002507327604412918,0.06714276590241916,0.36718010902404785,0.179584339261055,0.7069027423858643,0.9559535980224609,0.14823582768440247,0.3048975467681885
15,0.0002040425810619828,0.06326043965859206,0.35608047246932983,0.18067999184131622,0.6845681667327881,0.9233198761940002,0.1466495543718338,0.2943371534347534
16,0.0001346955430603831,0.06443138436006987,0.3588906526565552,0.17929305136203766,0.6859632134437561,0.9302027821540833,0.14947882294654846,0.2946658730506897
17,0.00011061896806265118,0.06455622835060652,0.3583284020423889,0.18533220887184143,0.692112386226654,0.9330446124076843,0.14962348341941833,0.29409685730934143
18,9.10307337208606e-05,0.06530006411715633,0.36046725511550903,0.18537770211696625,0.6962643265724182,0.9368070960044861,0.1507773995399475,0.2957223355770111
19,8.059962911725602e-05,0.06538371555820158,0.36079397797584534,0.1852378100156784,0.6967230439186096,0.9378286600112915,0.15038330852985382,0.2961030602455139
20,7.493399630122306e-05,0.06514818320901232,0.3598968982696533,0.1829233467578888,0.6902895569801331,0.9336307644844055,0.14997687935829163,0.2954496741294861
