epoch,train_loss,eval_loss,epe_mean,epe_median,epe_p80,epe_p90,mae_x,mae_y
1,0.08114639522842966,0.02942320527353264,0.2927020192146301,0.2578219175338745,0.42743462324142456,0.5332400798797607,0.1766827553510666,0.19267036020755768
2,0.013348458807474465,0.013142111712537688,0.19545723497867584,0.17025771737098694,0.2908220887184143,0.36445000767707825,0.10401518642902374,0.14184293150901794
3,0.00658366372050845,0.010071057411964297,0.1723967045545578,0.15864798426628113,0.2541719675064087,0.3079672157764435,0.08486759662628174,0.13009698688983917
4,0.004395380386159156,0.013705662163174523,0.19149009883403778,0.15626543760299683,0.2828716039657593,0.3755042254924774,0.08883380144834518,0.15124578773975372
5,0.0034770778434657004,0.008590594261244543,0.1601012945175171,0.14338216185569763,0.23188148438930511,0.2846834659576416,0.07529812306165695,0.12489800155162811
6,0.0024251157187154507,0.008233423237655498,0.15563049912452698,0.13980495929718018,0.2243649661540985,0.27948808670043945,0.06309715658426285,0.13010254502296448
7,0.001962864033959452,0.004948854508647486,0.11855147778987885,0.10336446017026901,0.1700935661792755,0.21301774680614471,0.05609266459941864,0.09358963370323181
8,0.0015842936010022361,0.003899645747123442,0.10486620664596558,0.09256626665592194,0.15261892974376678,0.18467652797698975,0.05015871301293373,0.08147528022527695
9,0.001213879073045693,0.003930525517264528,0.10584516078233719,0.0949135571718216,0.1520717293024063,0.18554994463920593,0.0496416911482811,0.08350636065006256
10,0.0009959184395652329,0.0034889009685604554,0.10115117579698563,0.09080418944358826,0.14521180093288422,0.17948958277702332,0.04747875779867172,0.07897575944662094
11,0.00080999637395155,0.0034443651328223417,0.10063084214925766,0.09200876951217651,0.14363043010234833,0.176920086145401,0.04812531918287277,0.07876866310834885
12,0.0006408501781088187,0.0030657154350121436,0.0940059944987297,0.08481144905090332,0.13576461374759674,0.16616930067539215,0.04507774859666824,0.07315433770418167
13,0.0005219835207033889,0.003278746843106849,0.09583232551813126,0.0843275934457779,0.1396835595369339,0.17061302065849304,0.04306843504309654,0.07697446644306183
14,0.0004121508555617638,0.00299300795114268,0.09146977216005325,0.07987476140260696,0.13375045359134674,0.16717079281806946,0.043426513671875,0.07117526978254318
15,0.0003462944490573109,0.0030040914935186543,0.09267637878656387,0.08401428163051605,0.13290725648403168,0.16228890419006348,0.04335169121623039,0.07305467128753662
16,0.00029186113620405186,0.003092800537768867,0.09339820593595505,0.08310133963823318,0.13665665686130524,0.16553443670272827,0.04272928461432457,0.07429031282663345
17,0.00025649025331081623,0.003160246698572556,0.09337563067674637,0.08011291921138763,0.13740681111812592,0.17150671780109406,0.04213358089327812,0.07466855645179749
18,0.0002317374003860292,0.003009719793242458,0.09113775938749313,0.07972609996795654,0.13283541798591614,0.16588559746742249,0.04189413785934448,0.07225430756807327
19,0.00021619602641461376,0.003062854612552892,0.09182862937450409,0.07956986874341965,0.13452155888080597,0.16698311269283295,0.04183478653430939,0.0731235146522522
20,0.00020800325309986697,0.0030597266876683316,0.09177614003419876,0.08039810508489609,0.1343735009431839,0.1669512689113617,0.041748497635126114,0.07314004749059677
