epoch,train_loss,eval_loss,epe_mean,epe_median,epe_p80,epe_p90,mae_x,mae_y
1,0.07653872500375267,0.021526941742419058,0.2478857934474945,0.21330586075782776,0.3594728708267212,0.4523075520992279,0.11585019528865814,0.19288548827171326
2,0.009333904003537818,0.018947443152668938,0.22331863641738892,0.17362545430660248,0.33662277460098267,0.4513091444969177,0.10401175916194916,0.17316552996635437
3,0.006093010479510978,0.014874519130352858,0.20090623199939728,0.16556894779205322,0.2821606993675232,0.3899550139904022,0.1015906110405922,0.14847813546657562
4,0.0041976327667581255,0.01289768009702175,0.1843145489692688,0.14743229746818542,0.2627784311771393,0.3794623613357544,0.0851520523428917,0.1427079141139984
5,0.00475749154884363,0.011207843806621282,0.18562816083431244,0.165182963013649,0.24855254590511322,0.3120749592781067,0.11352505534887314,0.12349731475114822
6,0.0032726353015969964,0.008783118462363404,0.15242254734039307,0.12508738040924072,0.2235185205936432,0.28516384959220886,0.077170230448246,0.11506223678588867
7,0.0036288377589836283,0.007523318707302817,0.13470804691314697,0.10199124366044998,0.19845139980316162,0.28046348690986633,0.06083768233656883,0.10709355026483536
8,0.001091077934016472,0.007505985751730304,0.1323307901620865,0.09561587870121002,0.19463254511356354,0.2952728569507599,0.05979964882135391,0.10514562577009201
9,0.0019156361848009988,0.006526568888515448,0.12324422597885132,0.09233855456113815,0.17006753385066986,0.26915764808654785,0.05159442499279976,0.10117211192846298
10,0.0009992105346074598,0.007363934127218257,0.12937310338020325,0.09154222905635834,0.19857503473758698,0.2965957820415497,0.05142761394381523,0.10761183500289917
11,0.0007541860465337879,0.008153316823138827,0.13511843979358673,0.09477023780345917,0.20006082952022552,0.30766451358795166,0.05174369364976883,0.11495371162891388
12,0.0010544810616009905,0.0076840940542821385,0.12883983552455902,0.09023412317037582,0.1886146515607834,0.31051337718963623,0.050127286463975906,0.10913265496492386
13,0.00034598600170427746,0.0060220563361923565,0.11520202457904816,0.07987228780984879,0.17482943832874298,0.25951313972473145,0.045247141271829605,0.09721732139587402
14,0.00036814723668219515,0.006642036095510519,0.11958014219999313,0.08084055036306381,0.17905938625335693,0.2811359465122223,0.04904411360621452,0.09946778416633606
15,0.00017904435383361427,0.005791279266372786,0.11175436526536942,0.07713388651609421,0.16306249797344208,0.25750046968460083,0.04678677022457123,0.0923394188284874
16,0.00014698434791798851,0.006098548715894148,0.11419565975666046,0.07628355920314789,0.16965614259243011,0.2662089169025421,0.0476062074303627,0.09439097344875336
17,0.00011341182376328898,0.006013428737233818,0.11354754120111465,0.07709557563066483,0.163880854845047,0.2642689347267151,0.04755366966128349,0.09382912516593933
18,9.247636492722916e-05,0.006090505564305264,0.11356572061777115,0.07577721774578094,0.16884204745292664,0.26563143730163574,0.046872809529304504,0.09454458206892014
19,8.026326901823633e-05,0.006010613571807991,0.11275313794612885,0.07580822706222534,0.16624568402767181,0.26373717188835144,0.04658348113298416,0.09368080645799637
20,7.429591862492784e-05,0.0060584810698018155,0.11288738250732422,0.07554786652326584,0.16651113331317902,0.2654266357421875,0.04630984738469124,0.09409551322460175
