epoch,train_loss,eval_loss,epe_mean,epe_median,epe_p80,epe_p90,mae_x,mae_y
1,0.057878026187831846,0.03367095867923165,0.3199292719364166,0.3012804090976715,0.4708639085292816,0.5687583088874817,0.10610251128673553,0.2811747193336487
2,0.00833608684904409,0.02340864688869308,0.2545183300971985,0.21523788571357727,0.3663809895515442,0.4829140603542328,0.11443615704774857,0.20381247997283936
3,0.008290040367606638,0.010776650983849117,0.1721852570772171,0.14532031118869781,0.24551354348659515,0.31375589966773987,0.08481425046920776,0.13016054034233093
4,0.003975219438180805,0.010798807076771959,0.1751982569694519,0.15284818410873413,0.25114554166793823,0.3186427056789398,0.06605228781700134,0.14938730001449585
5,0.005112781604788381,0.0055097395380812215,0.11841130256652832,0.09991029649972916,0.1602410078048706,0.20765401422977448,0.06289899349212646,0.08684035390615463
6,0.003794617225461894,0.007311482983585758,0.14297108352184296,0.12294647097587585,0.20811520516872406,0.25604718923568726,0.08022966235876083,0.09908859431743622
7,0.0037940410097992037,0.005607540412030243,0.11195845156908035,0.08106530457735062,0.1640411615371704,0.23123832046985626,0.04994130879640579,0.08997731655836105
8,0.000986122415393992,0.007818559311810427,0.14052188396453857,0.10765089094638824,0.22437608242034912,0.2841898798942566,0.04969688132405281,0.1232648715376854
9,0.002380236773612576,0.0055868252649512095,0.11327697336673737,0.08464224636554718,0.1542348563671112,0.22598683834075928,0.061026688665151596,0.08242395520210266
10,0.000888089896320794,0.00537179523372138,0.1096235141158104,0.08636956661939621,0.14925548434257507,0.20587611198425293,0.046116653829813004,0.09080450236797333
11,0.001017699554512945,0.005151539228340891,0.10620233416557312,0.08048106729984283,0.14224950969219208,0.21096429228782654,0.04647344350814819,0.08562057465314865
12,0.0013222312632851154,0.004745582524944888,0.1033930629491806,0.07846986502408981,0.14316844940185547,0.2048436999320984,0.043905556201934814,0.08578233420848846
13,0.0002770607131505505,0.004337282200079402,0.09802403301000595,0.07192137092351913,0.13641415536403656,0.20059095323085785,0.04170478135347366,0.08035773783922195
14,0.0004065219832107594,0.003847946592013136,0.08512599766254425,0.060663796961307526,0.1122521311044693,0.17796966433525085,0.03968915343284607,0.06742758303880692
15,0.00014309996859675604,0.004208858545007171,0.09191916882991791,0.06379163265228271,0.13014671206474304,0.1999027580022812,0.04108559340238571,0.07410197705030441
16,0.00011855108785138007,0.004075209114496065,0.0915231853723526,0.06451413780450821,0.13009671866893768,0.1970062404870987,0.0393405519425869,0.07482273876667023
17,8.520507391582697e-05,0.004063206886192495,0.090854212641716,0.06331181526184082,0.12711255252361298,0.2002623975276947,0.03939009830355644,0.07409758120775223
18,6.644778899299175e-05,0.004194749120694,0.0938345268368721,0.0673389807343483,0.13565181195735931,0.20411436259746552,0.03921286761760712,0.07771587371826172
19,5.563923197579099e-05,0.004110749690906814,0.09232623875141144,0.0662294551730156,0.1316870003938675,0.20179937779903412,0.03883110359311104,0.07624971866607666
20,5.04414811764244e-05,0.0041315326773892725,0.09238234162330627,0.06549225002527237,0.13173572719097137,0.20405374467372894,0.038872625678777695,0.0762862041592598
