epoch,train_loss,eval_loss,epe_mean,epe_median,epe_p80,epe_p90,mae_x,mae_y
1,0.09861018840149652,0.043182100736156,0.29027342796325684,0.220562145113945,0.3587104082107544,0.46313467621803284,0.13652905821800232,0.23217813670635223
2,0.008711994674691173,0.039824842741637355,0.2620580792427063,0.19180338084697723,0.3237791657447815,0.39787307381629944,0.11201968044042587,0.21874621510505676
3,0.006799457501629508,0.037035400642700014,0.24479956924915314,0.16883552074432373,0.28763771057128906,0.39871689677238464,0.13223934173583984,0.18159598112106323
4,0.0044161171745472445,0.03280985082248515,0.23385602235794067,0.17549021542072296,0.2630884647369385,0.33608442544937134,0.14389337599277496,0.1551438271999359
5,0.00509722169939812,0.03434787654720229,0.23184962570667267,0.15620270371437073,0.2858964204788208,0.385164350271225,0.09521052986383438,0.19246724247932434
6,0.003124954298484532,0.028273439409126813,0.1856226921081543,0.12039107829332352,0.2025943249464035,0.27120092511177063,0.08614704012870789,0.14642609655857086
7,0.0032826758517057165,0.031890226994821164,0.21194995939731598,0.1401224285364151,0.24919651448726654,0.3402385413646698,0.08767344802618027,0.17690473794937134
8,0.0014701117425719036,0.028292299482553556,0.1837579905986786,0.11491253226995468,0.2067052274942398,0.2778507471084595,0.09040579199790955,0.14370989799499512
9,0.0023173487164401397,0.026366607869724102,0.1679600179195404,0.09926638007164001,0.18207947909832,0.25248855352401733,0.07648368924856186,0.1351059079170227
10,0.0008117653867000034,0.02581493521291487,0.15744398534297943,0.08932236582040787,0.16343776881694794,0.23422415554523468,0.07005956768989563,0.13002850115299225
11,0.001016474866017762,0.026075051220796272,0.15759916603565216,0.08530711382627487,0.16625864803791046,0.25062647461891174,0.06303111463785172,0.133858785033226
12,0.0009865602247603692,0.025999951935184316,0.16459059715270996,0.09320273995399475,0.18646445870399475,0.2687566876411438,0.06698494404554367,0.1382957100868225
13,0.0003411481520850726,0.026551177509146828,0.16346824169158936,0.09263359010219574,0.17446468770503998,0.25082525610923767,0.06741619110107422,0.13715465366840363
