top,period_ns,wns_ns,tns_ns,run_dir
slim_mamba_block,10.0,FAIL,FAIL,E:/course/smamba/HW/synth_runs/slim_mamba_block_p10p0
slim_mamba_chain4_top,10.0,FAIL,FAIL,E:/course/smamba/HW/synth_runs/slim_mamba_chain4_top_p10p0
