index,x_q88,gamma_q88,float_ref_q88,hw_golden_q88,hw_model_q88,float_ref_real,hw_golden_real,abs_error_real
118,-345,266,-380,-382,-382,-1.484375,-1.4921875,0.0078125
119,-19,262,-21,-22,-22,-0.08203125,-0.0859375,0.00390625
120,-5,257,-5,-6,-6,-0.01953125,-0.0234375,0.00390625
121,-259,252,-270,-272,-272,-1.0546875,-1.0625,0.0078125
122,115,262,125,125,125,0.48828125,0.48828125,0.0
123,220,262,239,239,239,0.93359375,0.93359375,0.0
124,77,264,84,84,84,0.328125,0.328125,0.0
125,184,268,204,205,205,0.796875,0.80078125,0.00390625
126,-84,268,-93,-94,-94,-0.36328125,-0.3671875,0.00390625
127,79,263,86,86,86,0.3359375,0.3359375,0.0
