epoch,train_loss,eval_loss,epe_mean,epe_median,epe_p80,epe_p90,mae_x,mae_y
1,0.0259280130346243,0.002088307036163253,0.07879151403903961,0.07109048962593079,0.1134166345000267,0.13993199169635773,0.04241455718874931,0.05769255757331848
2,0.0015906160694880084,0.0015789444920943673,0.06675859540700912,0.05825518071651459,0.09698902070522308,0.12146449834108353,0.033217091113328934,0.05188494548201561
3,0.0011269606344327901,0.0008505592626816063,0.049810316413640976,0.044516779482364655,0.07106084376573563,0.08828359097242355,0.025312747806310654,0.03770437464118004
4,0.0008628161221087051,0.0007440810869347309,0.04572852700948715,0.040120258927345276,0.06656358391046524,0.08305592834949493,0.020361294969916344,0.036867957562208176
5,0.0006596621732203973,0.0006143838746555375,0.04183972254395485,0.03712644428014755,0.06026613339781761,0.07493201643228531,0.019853148609399796,0.03274163976311684
6,0.0005298108005818885,0.00032015809527827547,0.030233245342969894,0.02659814991056919,0.0436624176800251,0.05495148524641991,0.01458197832107544,0.023328155279159546
7,0.0004045416989872281,0.0004487608988999565,0.03608602285385132,0.03191296011209488,0.053228020668029785,0.06628138571977615,0.014689438045024872,0.03021380305290222
8,0.0003184231883780897,0.00021284450589140514,0.02501726895570755,0.022342124953866005,0.03625006601214409,0.045070212334394455,0.012833800166845322,0.018917141482234
9,0.00024049295047781188,0.0002500581396172109,0.026655133813619614,0.02299535647034645,0.03938121721148491,0.04999079927802086,0.011835058219730854,0.021781302988529205
10,0.00018784831362971438,0.00015798588693419915,0.02139071561396122,0.018961220979690552,0.03104141727089882,0.038779497146606445,0.009739242494106293,0.01701541803777218
11,0.00013460122686446776,0.00010849869978863198,0.017831074073910713,0.01595482788980007,0.025784851983189583,0.03201184421777725,0.009240087121725082,0.013302111066877842
12,0.00010038496268742623,8.955904546038058e-05,0.01622319407761097,0.014500882476568222,0.02319633588194847,0.029008779674768448,0.007954907603561878,0.012577572837471962
13,7.31372512033573e-05,5.97647798873503e-05,0.013311535120010376,0.01193664874881506,0.019222676753997803,0.023847956210374832,0.006722739897668362,0.010116804391145706
14,5.271587624371563e-05,4.13961920728268e-05,0.01113931555300951,0.010101388208568096,0.016114212572574615,0.019842900335788727,0.005661554168909788,0.008439316414296627
15,3.7911263125172235e-05,3.9695935379700526e-05,0.010937119834125042,0.00995719339698553,0.015847185626626015,0.0193051528185606,0.0056045036762952805,0.00818239338696003
16,2.8494102604293194e-05,2.6851223969110203e-05,0.00896264798939228,0.008093200623989105,0.012990572489798069,0.01599917747080326,0.00466196471825242,0.006683206185698509
17,2.1565992154448192e-05,2.2181599608828758e-05,0.00814604852348566,0.007366352714598179,0.011761514469981194,0.014529038220643997,0.004396006930619478,0.005933340638875961
18,1.729733089793317e-05,1.930724033483244e-05,0.007620582357048988,0.006893693469464779,0.01097265537828207,0.013574842363595963,0.004165086429566145,0.005504241678863764
19,1.4724402759355623e-05,1.760053052827574e-05,0.007262224331498146,0.006552206352353096,0.010469037108123302,0.012957324273884296,0.004002855625003576,0.005210794974118471
20,1.3431458827236463e-05,1.6996879864342146e-05,0.007145915180444717,0.006471200380474329,0.010297060944139957,0.012769456952810287,0.003960900008678436,0.005110202357172966
