epoch,train_loss,eval_loss,epe_mean,epe_median,epe_p80,epe_p90,mae_x,mae_y
1,0.09254260015591582,0.033867751403327206,0.3005326986312866,0.24812115728855133,0.4307475686073303,0.585817813873291,0.1627076119184494,0.21474821865558624
2,0.011466034390313733,0.02225167504856296,0.2391798496246338,0.1877887099981308,0.36186671257019043,0.49635201692581177,0.12255442887544632,0.178817480802536
3,0.006723083419110179,0.018768996622653453,0.21178238093852997,0.15991371870040894,0.3062759041786194,0.4557623267173767,0.11438403278589249,0.15338687598705292
4,0.004613360419966874,0.013419524041451247,0.18494953215122223,0.14826077222824097,0.2721567153930664,0.34750896692276,0.08904329687356949,0.14275702834129333
5,0.004981790460146311,0.020547917522578934,0.217875674366951,0.15816420316696167,0.3367353677749634,0.4734189510345459,0.10200924426317215,0.1697961837053299
6,0.0036820439974796335,0.011890456380949384,0.17401990294456482,0.1381223499774933,0.2512197494506836,0.33711791038513184,0.08044540882110596,0.1370037943124771
7,0.0030769552229905394,0.008868901150607835,0.14976102113723755,0.11736815422773361,0.21616321802139282,0.3052944242954254,0.07230228930711746,0.11820276081562042
8,0.0017462153135657638,0.011085609349295462,0.16486932337284088,0.12527121603488922,0.24011163413524628,0.36923325061798096,0.07361186295747757,0.1326758861541748
9,0.0022294931655855907,0.00828982743841367,0.14457452297210693,0.11348903179168701,0.20653149485588074,0.3034094274044037,0.06723316758871078,0.11502490192651749
10,0.0010927014947764463,0.009541893812665507,0.15234729647636414,0.11028529703617096,0.23386897146701813,0.343477725982666,0.07584262639284134,0.11563988775014877
11,0.0009969920508155212,0.009906146462411045,0.15717074275016785,0.12270232290029526,0.2319502830505371,0.3335280418395996,0.07289978116750717,0.12374147772789001
12,0.0012731057898467276,0.007634453535044393,0.13248319923877716,0.09502905607223511,0.1906609684228897,0.31133267283439636,0.0649147629737854,0.10258571058511734
13,0.000440386460706682,0.010029501825357678,0.1540718525648117,0.10997911542654037,0.23285475373268127,0.3447979986667633,0.06751556694507599,0.12419366836547852
14,0.0005147422967430698,0.007545342438616445,0.13249292969703674,0.09486410021781921,0.19450204074382782,0.3062534034252167,0.06201939657330513,0.1045125350356102
15,0.0002508656675715281,0.007527773418332626,0.1323544830083847,0.09399925917387009,0.19244565069675446,0.2999708950519562,0.06324883550405502,0.10353657603263855
16,0.00020998700508287793,0.0078060687255105425,0.1338586062192917,0.09289601445198059,0.20025049149990082,0.3112439811229706,0.0635991171002388,0.10483691096305847
17,0.00016852118991213464,0.007693404669657812,0.13315610587596893,0.09339182823896408,0.1984773874282837,0.31242433190345764,0.06120917201042175,0.1059371829032898
18,0.00014204020223768072,0.007596197765240521,0.13206838071346283,0.09282172471284866,0.19764328002929688,0.3092944920063019,0.06190194934606552,0.10444346815347672
19,0.00012508014823576637,0.0075693828376067855,0.13147330284118652,0.09135302901268005,0.19753585755825043,0.3092207610607147,0.06084870919585228,0.10439203679561615
20,0.0001170010752608853,0.007598039591440437,0.13163089752197266,0.09101945161819458,0.19790343940258026,0.31127363443374634,0.06089475750923157,0.104600690305233

python -m refactor.core.train ^
  --feat_root=./data/features/%dataform% ^
  --out_dir=ckpt_refactor\%dataform% ^
  --Din=2100 --K=16 ^
  --proj_dim=64 --d_model=64 --n_layer=2 ^
  --patch_len=8 --stride=4 ^
  --batch_size=32 --epochs=20 --lr=3e-4 --lr_schedule=cosine ^
  --workers=4 --prefetch=4 --amp --use_dwconv --preload %args%
